Product,Jan23,Dec22,Nov22,Oct22,Sep22,Aug22
Lithium carbonate 400mg modified-release tablets 100,£8.50,£8.50,£8.50,£8.50,£8.50,£8.50
Lithium carbonate 450mg modified-release tablets 60,£11.84,£11.84,£11.84,£11.84,£11.84,£11.84
Lithium citrate 1.018g/5ml oral solution 150,£17.49,£17.49,£17.49,£17.49,£17.49,£17.49
Lithium citrate 509mg/5ml oral solution 150,£5.79,£5.79,£5.79,£5.79,£5.79,£5.79
Lithium citrate 520mg/5ml oral solution sugar free 150,£6.73,£6.73,£6.73,£6.73,£6.73,£6.73
Lixisenatide 10micrograms/0.2ml solution for injection 3ml pre-filled disposable devices 1,£31.67,£31.67,£31.67,£31.67,£31.67,£31.67
Lixisenatide 20micrograms/0.2ml solution for injection 3ml pre-filled disposable devices 2,£57.93,£57.93,£57.93,£57.93,£57.93,£57.93
Lodoxamide 0.1% eye drops 10,£5.21,£5.21,£5.21,£5.21,£5.21,£5.21
Lofepramine 70mg tablets 56,£12.70,£14.87,£14.24,£14.24,£13.72,£13.72
Lofepramine 70mg/5ml oral suspension sugar free 150,£140.07,£140.07,£140.07,£140.07,£140.07,£140.07
Loperamide 1mg/5ml oral solution sugar free 100,£1.17,£1.17,£1.17,£1.17,£1.17,£1.17
Loperamide 2mg / Simeticone 125mg tablets 6,£3.02,£3.02,£3.02,£3.02,£3.02,£3.02
Loperamide 2mg / Simeticone 125mg tablets 12,£4.40,£3.02,£3.02,£3.02,£3.02,£3.02
Loperamide 2mg capsules 30,£0.93,£0.93,£0.90,£0.90,£0.89,£0.89
Loperamide 2mg orodispersible tablets sugar free 18,£6.36,£6.36,£6.36,£6.36,£6.36,£6.36
Loperamide 2mg tablets 30,£2.54,£2.64,£2.54,£2.54,£2.46,£2.46
Loprazolam 1mg tablets 28,£24.75,£22.50,£25.62,£24.90,£24.90,£24.90
Loratadine 10mg tablets 30,£0.86,£0.84,£0.82,£0.82,£0.80,£0.80
Loratadine 5mg/5ml oral solution 100,£4.55,£5.11,£4.90,£4.90,£4.34,£4.34
Loratadine 5mg/5ml oral solution sugar free 100,£2.85,£2.85,£2.85,£2.85,£2.85,£2.85
Lorazepam 1mg tablets 28,£1.71,£1.93,£1.86,£1.86,£1.88,£1.88
Lorazepam 1mg/ml oral solution sugar free 150,£103.62,£103.62,£103.62,£103.62,£103.62,£103.62
Lorazepam 2.5mg tablets 28,£2.99,£3.05,£2.93,£2.93,£2.92,£2.92
Lorazepam 500microgram tablets 28,£34.57,£34.58,£34.56,£34.60,£34.52,£34.68
Lormetazepam 1mg tablets 30,£17.77,£17.77,£17.77,£17.77,£17.77,£17.77
Lormetazepam 500microgram tablets 30,£18.94,£18.94,£18.94,£18.94,£18.94,£18.94
Losartan 100mg / Hydrochlorothiazide 12.5mg tablets 28,£10.53,£11.02,£11.38,£12.24,£12.28,£12.26
Losartan 100mg / Hydrochlorothiazide 25mg tablets 28,£7.51,£8.92,£8.54,£8.54,£11.84,£11.84
Losartan 100mg tablets 28,£1.56,£2.14,£2.06,£2.06,£4.04,£4.04
Losartan 12.5mg tablets 28,£5.73,£8.02,£7.69,£7.69,£7.44,£7.44
Losartan 25mg tablets 28,£1.13,£1.45,£1.40,£1.40,£2.23,£2.23
Losartan 50mg / Hydrochlorothiazide 12.5mg tablets 28,£5.25,£5.13,£4.92,£4.92,£5.24,£5.24
Losartan 50mg tablets 28,£1.16,£1.52,£1.47,£1.47,£3.13,£3.13
Loteprednol 0.5% eye drops 5,£5.50,£5.50,£5.50,£5.50,£5.50,£5.50
Lurasidone 18.5mg tablets 28,£39.60,£39.60,£39.60,£39.60,£39.60,£46.56
Lurasidone 37mg tablets 28,£39.60,£39.60,£39.60,£39.60,£39.60,£46.56
Lurasidone 74mg tablets 28,£39.60,£39.60,£39.60,£39.60,£39.60,£46.56
Lymecycline 408mg capsules 28,£4.79,£5.12,£4.91,£4.91,£5.08,£5.08
Lymecycline 408mg capsules 56,£9.58,£5.12,£4.91,£4.91,£5.08,£5.08
Macrogol 3350 oral powder 8.5g sachets sugar free 28,£99.85,£99.85,£99.85,£99.85,£99.85,£99.85
Macrogol compound half-strength oral powder sachets NPF sugar free 30,£4.38,£4.38,£4.38,£4.38,£4.38,£4.38
Macrogol compound oral liquid 25ml sachets NPF sugar free 30,£7.72,£7.72,£7.72,£7.72,£7.72,£7.72
Macrogol compound oral liquid NPF sugar free 500,£5.41,£5.41,£5.41,£5.41,£5.41,£5.41
Macrogol compound oral powder sachets NPF sugar free 30,£4.72,£4.29,£4.29,£4.29,£4.29,£4.29
Magnesium aspartate (magnesium 10mmol) oral powder sachets 10,£9.45,£9.45,£9.45,£9.45,£9.45,£9.45
Magnesium glycerophosphate (magnesium 121.25mg/5ml (5mmol/5ml)) oral solution 200,£37.87,£37.87,£37.87,£37.87,£37.87,£37.87
Magnesium glycerophosphate (magnesium 97.2mg (4mmol)) chewable tablets 50,£22.77,£22.77,£22.77,£22.77,£22.77,£22.77
Magnesium glycerophosphate (magnesium 97.2mg (4mmol)) chewable tablets sugar free 50,£22.77,£22.77,£22.77,£22.77,£22.77,£22.77
Magnesium hydroxide 7.45-8.35% oral suspension BP 200,£3.87,£3.87,£3.87,£3.87,£3.87,£3.87
Magnesium hydroxide 8% oral suspension 500,£8.05,£8.05,£8.05,£8.05,£8.05,£8.05
Magnesium sulfate 10% (magnesium 0.4mmol/ml) solution for injection 10ml ampoules 10,£84.18,£84.18,£84.18,£84.18,£84.18,£97.23
Magnesium sulfate 50% (magnesium 2mmol/ml) solution for injection 10ml ampoules 10,£21.71,£21.71,£21.71,£21.71,£21.71,£21.71
Magnesium sulfate 50% (magnesium 2mmol/ml) solution for injection 2ml ampoules 10,£17.35,£17.35,£17.35,£17.35,£17.35,£17.35
Magnesium sulfate paste 50,£3.67,£3.67,£3.67,£3.67,£3.67,£3.67
Magnesium sulfate powder 500,£4.03,£4.03,£4.03,£4.03,£4.03,£4.03
Magnesium trisilicate oral suspension 200,£1.65,£1.65,£1.65,£1.65,£1.65,£1.65
Malathion 0.5% aqueous liquid 150,£10.07,£10.07,£10.07,£10.07,£10.07,£10.07
Mannitol 40mg inhalation powder capsules with two devices 280,£231.66,£231.66,£231.66,£231.66,£231.66,£231.66
Maraviroc 150mg tablets 60,£519.14,£519.14,£519.14,£519.14,£519.14,£519.14
Maraviroc 20mg/ml oral solution sugar free 230,£230.44,£230.44,£230.44,£230.44,£230.44,£230.44
Maraviroc 300mg tablets 60,£519.14,£519.14,£519.14,£519.14,£519.14,£519.14
"Measles, Mumps and Rubella vaccine (live) powder and solvent for solution for injection 0.5ml pre-filled syringes 1",£7.64,£7.64,£7.64,£7.64,£7.64,£7.64
"Measles, Mumps and Rubella vaccine (live) powder and solvent for suspension for injection 0.5ml pre-filled syringes 1",£11.00,£11.00,£11.00,£11.00,£11.00,£11.00
Mebendazole 100mg chewable tablets sugar free 6,£1.34,£1.34,£1.34,£1.34,£1.34,£1.34
Mebendazole 100mg/5ml oral suspension 30,£1.55,£1.55,£1.55,£1.55,£1.55,£1.55
Mebeverine 135mg tablets 100,£3.60,£3.43,£3.29,£3.29,£3.47,£3.47
Mebeverine 200mg modified-release capsules 60,£3.78,£4.17,£4.01,£4.01,£5.58,£5.58
Mebeverine 50mg/5ml oral suspension sugar free 300,£187.00,£187.00,£187.00,£187.00,£187.00,£187.00
Medroxyprogesterone 100mg tablets 100,£49.94,£49.94,£49.94,£49.94,£49.94,£49.94
Medroxyprogesterone 104mg/0.65ml suspension for injection pre-filled disposable devices 1,£6.90,£6.90,£6.90,£6.90,£6.90,£6.90
Medroxyprogesterone 10mg tablets 90,£22.16,£22.16,£22.16,£22.16,£22.16,£22.16
Medroxyprogesterone 150mg/1ml suspension for injection pre-filled syringes 1,£6.01,£6.01,£6.01,£6.01,£6.01,£6.01
Medroxyprogesterone 2.5mg tablets 30,£1.84,£1.84,£1.84,£1.84,£1.84,£1.84
Medroxyprogesterone 200mg tablets 30,£29.65,£29.65,£29.65,£29.65,£29.65,£29.65
Medroxyprogesterone 400mg tablets 30,£58.67,£58.67,£58.67,£58.67,£58.67,£58.67
Medroxyprogesterone 5mg tablets 10,£1.23,£1.23,£1.23,£1.23,£1.23,£1.23
Mefenamic acid 250mg capsules 100,£31.38,£27.76,£25.52,£25.48,£25.55,£25.40
Mefenamic acid 500mg tablets 28,£17.17,£18.56,£17.76,£17.76,£17.37,£17.37
Mefenamic acid 50mg/5ml oral suspension 125,£183.48,£183.48,£183.48,£183.48,£183.48,£179.00
Mefloquine 250mg tablets 8,£14.53,£14.53,£14.53,£14.53,£14.53,£14.53
Megestrol 160mg tablets 30,£19.52,£19.52,£19.52,£19.52,£19.52,£19.52
Meglumine amidotrizoate 3.3g/5ml / Sodium amidotrizoate 500mg/5ml oral solution sugar free 1000,£175.00,£175.00,£175.00,£175.00,£175.00,£175.00
Melatonin 1mg modified-release tablets 60,£41.20,£41.20,£41.20,£41.20,£41.20,£41.20
Melatonin 1mg tablets 30,£13.30,£13.30,£13.30,£13.30,£13.30,#N/A
Melatonin 1mg/ml oral solution sugar free 150,£177.78,£163.10,£157.09,£155.57,£152.53,£146.45
Melatonin 2mg capsules 30,£57.50,£57.50,£57.50,£57.50,£57.50,£57.50
Melatonin 2mg modified-release tablets 30,£15.39,£15.39,£15.39,£15.39,£15.39,£15.39
Melatonin 2mg tablets 30,£15.30,£15.30,£15.30,£15.30,£15.30,#N/A
Melatonin 3mg capsules 30,£62.50,£62.50,£62.50,£62.50,£62.50,£62.50
Melatonin 3mg tablets 30,£19.81,£19.81,£19.81,£19.81,£19.81,£19.81
Melatonin 4mg tablets 30,£20.23,£20.23,£20.23,£20.23,£20.23,#N/A
Melatonin 5mg capsules 30,£105.00,£105.00,£105.00,£105.00,£105.00,£105.00
Melatonin 5mg modified-release tablets 30,£103.00,£103.00,£103.00,£103.00,£103.00,£103.00
Melatonin 5mg tablets 30,£23.27,£23.27,£23.27,£23.27,£23.27,#N/A
Meloxicam 15mg orodispersible tablets sugar free 30,£25.50,£25.50,£25.50,£25.50,£25.50,£25.50
Meloxicam 15mg tablets 30,£2.26,£2.96,£2.84,£2.84,£2.44,£2.44
Meloxicam 7.5mg orodispersible tablets sugar free 30,£25.50,£25.50,£25.50,£25.50,£25.50,£25.50
Meloxicam 7.5mg tablets 30,£1.29,£1.65,£1.59,£1.59,£1.50,£1.50
Melphalan 2mg tablets 25,£30.93,£30.93,£30.93,£30.93,£30.93,£30.93
Memantine 10mg orodispersible tablets sugar free 28,£24.99,£24.99,£24.99,£24.99,£24.99,£24.99
Memantine 10mg tablets 28,£1.15,£1.15,£1.12,£1.12,£1.12,£1.12
Memantine 10mg/ml oral solution sugar free 50,£7.26,£7.64,£7.32,£7.32,£6.97,£6.97
Memantine 20mg orodispersible tablets sugar free 28,£49.98,£49.98,£49.98,£49.98,£49.98,£49.98
Memantine 20mg tablets 28,£1.51,£1.47,£1.42,£1.42,£1.38,£1.38
Memantine 5mg/10mg/15mg/20mg orodispersible tablets initiation pack sugar free 28,£31.24,£31.24,£31.24,£31.24,£31.24,£31.24
Memantine 5mg/10mg/15mg/20mg tablets treatment initiation pack 28,£43.13,£43.13,£43.13,£43.13,£43.13,£43.13
Menadiol 10mg tablets 100,£225.45,£225.45,£225.45,£225.45,£225.45,£225.45
"Meningococcal oligosaccharide A, C, W135 and Y conjugate vaccine powder and solvent for solution for injection 0.5ml vials 1",£30.00,£30.00,£30.00,£30.00,£30.00,£30.00
"Meningococcal polysaccharide A, C, W135 and Y conjugate vaccine powder and solvent for solution for injection 0.5ml pre-filled syringes 1",£30.00,£30.00,£30.00,£30.00,£30.00,£30.00
"Menotrophin 1,200unit powder and solvent for solution for injection vials 1",£288.29,£288.29,£288.29,£288.29,£288.29,£288.29
Menotrophin 150unit powder and solvent for solution for injection vials 10,£360.36,£360.36,£360.36,£360.36,£360.36,£360.36
Menotrophin 600unit powder and solvent for solution for injection vials 1,£144.14,£144.14,£144.14,£144.14,£144.14,£144.14
Menotrophin 75unit powder and solvent for solution for injection vials 10,£180.18,£180.18,£180.18,£180.18,£180.18,£180.18
Menthol 0.5% in Aqueous cream 500,£17.19,£17.19,£17.19,£17.19,£17.19,£17.19
Menthol 1% in Aqueous cream 100,£4.25,£4.25,£4.25,£4.25,£4.25,£4.25
Menthol 1% in Aqueous cream 500,£17.75,£4.25,£4.25,£4.25,£4.25,£4.25
Menthol 2% in Aqueous cream 500,£18.16,£18.16,£18.16,£18.16,£18.16,£18.16
Menthol crystals 5,£1.78,£1.78,£1.78,£1.78,£1.78,£1.78
Meptazinol 200mg tablets 112,£22.11,£22.11,£22.11,£22.11,£22.11,£22.11
Mepyramine 2% cream 25,£3.25,£3.25,£3.25,£3.25,£3.25,£3.25
Mercaptamine 150mg capsules 100,£190.00,£190.00,£190.00,£190.00,£190.00,£190.00
Mercaptamine 25mg gastro-resistant capsules 60,£335.97,£335.97,£335.97,£335.97,£335.97,£335.97
Mercaptamine 3.8mg/ml eye drops 5,£865.00,£865.00,£865.00,£865.00,£865.00,£865.00
Mercaptamine 50mg capsules 100,£70.00,£70.00,£70.00,£70.00,£70.00,£70.00
Mercaptamine 75mg gastro-resistant capsules 250,"£4,199.65","£4,199.65","£4,199.65","£4,199.65","£4,199.65","£4,199.65"
Mercaptopurine 20mg/ml oral suspension 100,£170.00,£170.00,£170.00,£170.00,£170.00,£170.00
Mercaptopurine 50mg tablets 25,£9.89,£11.17,£10.70,£10.70,£9.88,£9.88
Meropenem 1g powder for solution for injection vials 10,£203.80,£203.80,£203.80,£203.80,£203.80,£203.80
Meropenem 500mg powder for solution for injection vials 10,£101.90,£101.90,£101.90,£101.90,£101.90,£101.90
Mesalazine 1.2g gastro-resistant modified-release tablets 60,£42.95,£42.95,£42.95,£42.95,£42.95,£42.95
Mesalazine 1.5g gastro-resistant modified-release granules sachets sugar free 60,£48.85,£48.85,£48.85,£48.85,£48.85,£48.85
Mesalazine 1.6g gastro-resistant tablets 30,£30.08,£30.08,£30.08,£30.08,£30.08,£30.08
Mesalazine 1g gastro-resistant modified-release granules sachets sugar free 50,£28.74,£28.74,£28.74,£28.74,£28.74,£28.74
Mesalazine 1g gastro-resistant tablets 90,£58.50,£58.50,£58.50,£58.50,£58.50,£58.50
Mesalazine 1g modified-release granules sachets sugar free 50,£30.74,£30.74,£30.74,£30.74,£30.74,£30.74
Mesalazine 1g modified-release tablets 60,£36.89,£36.89,£36.89,£36.89,£36.89,£36.89
Mesalazine 1g suppositories 28,£40.01,£40.01,£40.01,£40.01,£40.01,£40.01
Mesalazine 1g/100ml enema 7,£17.73,£17.73,£17.73,£17.73,£17.73,£17.73
Mesalazine 1g/application foam enema 14,£30.17,£30.17,£30.17,£30.17,£30.17,£30.17
Mesalazine 250mg gastro-resistant tablets 100,£16.19,£16.19,£16.19,£16.19,£16.19,£16.19
Mesalazine 2g modified-release granules sachets sugar free 60,£73.78,£73.78,£73.78,£73.78,£73.78,£73.78
Mesalazine 2g/59ml enema 7,£29.92,£29.92,£29.92,£29.92,£29.92,£29.92
Mesalazine 3g gastro-resistant modified-release granules sachets sugar free 60,£97.70,£97.70,£97.70,£97.70,£97.70,£97.70
Mesalazine 400mg gastro-resistant tablets 84,£27.45,£27.45,£27.45,£27.45,£27.45,£27.45
Mesalazine 400mg gastro-resistant tablets 90,£16.58,£27.45,£27.45,£27.45,£27.45,£27.45
Mesalazine 4g modified-release granules sachets sugar free 30,£73.78,£73.78,£73.78,£73.78,£73.78,£73.78
Mesalazine 500mg gastro-resistant modified-release granules sachets sugar free 100,£28.74,£28.74,£28.74,£28.74,£28.74,£28.74
Mesalazine 500mg gastro-resistant tablets 100,£32.38,£32.38,£32.38,£32.38,£32.38,£32.38
Mesalazine 500mg modified-release tablets 100,£30.74,£30.74,£30.74,£30.74,£30.74,£30.74
Mesalazine 500mg suppositories 30,£14.81,£14.81,£14.81,£14.81,£14.81,£14.81
Mesalazine 800mg gastro-resistant tablets 84,£54.90,£54.90,£54.90,£54.90,£54.90,£54.90
Mesalazine 800mg gastro-resistant tablets 180,£80.75,£54.90,£54.90,£54.90,£54.90,£54.90
Mestranol 50microgram / Norethisterone 1mg tablets 63,£2.19,£2.19,£2.19,£2.19,£2.19,£2.19
Metformin 1g / Sitagliptin 50mg tablets 56,£33.26,£33.26,£33.26,£33.26,£33.26,£33.26
Metformin 1g modified-release tablets 56,£2.23,£2.89,£2.78,£2.78,£2.77,£2.77
Metformin 1g tablets 28,£48.42,£38.65,£38.65,£38.65,£38.65,£11.81
Metformin 1g/5ml oral solution sugar free 150,£80.00,£80.00,£80.00,£80.00,£80.00,£80.00
Metformin 500mg modified-release tablets 56,£1.58,£1.67,£1.61,£1.61,£1.64,£1.64
Metformin 500mg oral powder sachets sugar free 30,£6.30,£6.30,£6.30,£6.30,£6.30,£6.30
Metformin 500mg tablets 28,£0.79,£0.73,£0.71,£0.71,£0.71,£0.71
Metformin 500mg/5ml oral solution sugar free 150,£32.67,£34.47,£32.99,£32.99,£37.45,£37.45
Metformin 750mg modified-release tablets 56,£6.40,£6.40,£6.40,£6.40,£6.40,£6.40
Metformin 850mg tablets 56,£1.20,£1.22,£1.18,£1.18,£1.22,£1.22
Metformin 850mg/5ml oral solution sugar free 150,£68.00,£68.00,£68.00,£68.00,£68.00,£68.00
Methadone 10mg/1ml solution for injection ampoules 10,£7.63,£7.63,£7.63,£7.63,£7.63,£7.63
Methadone 10mg/ml oral solution sugar free 150,£12.01,£12.01,£12.01,£12.01,£12.01,£12.01
Methadone 1mg/ml oral solution 100,£1.04,£1.08,£1.05,£1.05,£0.99,£0.99
Methadone 1mg/ml oral solution 500,£5.20,£1.08,£1.05,£1.05,£0.99,£0.99
Methadone 1mg/ml oral solution sugar free 100,£1.05,£1.06,£1.02,£1.02,£1.02,£1.02
Methadone 1mg/ml oral solution sugar free 500,£5.25,£1.06,£1.02,£1.02,£1.02,£1.02
Methadone 20mg/ml oral solution sugar free 150,£24.02,£24.02,£24.02,£24.02,£24.02,£24.02
Methadone 50mg/1ml solution for injection ampoules 10,£17.72,£17.72,£17.72,£17.72,£17.72,£17.72
Methadone 5mg tablets 50,£10.00,£10.00,£10.00,£10.00,£10.00,£10.00
Methenamine hippurate 1g tablets 60,£33.50,£33.51,£33.49,£33.53,£33.45,£33.60
Methocarbamol 1500mg tablets 100,£29.18,£28.23,£28.23,£29.78,£29.78,£29.78
Methocarbamol 750mg tablets 100,£9.20,£14.03,£13.44,£13.44,£11.81,£11.81
Methotrexate 10mg tablets 100,£55.07,£55.07,£55.07,£55.07,£55.06,£55.06
Methotrexate 10mg/0.2ml solution for injection pre-filled disposable devices 1,£13.26,£13.26,£13.26,£13.26,£13.26,£13.26
Methotrexate 10mg/0.2ml solution for injection pre-filled syringes 1,£11.25,£11.25,£11.25,£11.25,£11.25,£11.25
Methotrexate 10mg/0.4ml solution for injection pre-filled disposable devices 1,£13.77,£13.77,£13.77,£13.77,£13.77,£13.77
Methotrexate 10mg/0.4ml solution for injection pre-filled syringes 1,£13.77,£13.77,£13.77,£13.77,£13.77,£13.77
Methotrexate 12.5mg/0.25ml solution for injection pre-filled disposable devices 1,£14.35,£14.35,£14.35,£14.35,£14.35,£14.35
Methotrexate 12.5mg/0.25ml solution for injection pre-filled syringes 1,£12.34,£12.34,£12.34,£12.34,£12.34,£12.34
Methotrexate 12.5mg/0.5ml solution for injection pre-filled disposable devices 1,£14.85,£14.85,£14.85,£14.85,£14.85,£14.85
Methotrexate 12.5mg/0.5ml solution for injection pre-filled syringes 1,£14.85,£14.85,£14.85,£14.85,£14.85,£14.85
Methotrexate 15mg/0.3ml solution for injection pre-filled disposable devices 1,£14.41,£14.41,£14.41,£14.41,£14.41,£14.41
Methotrexate 15mg/0.3ml solution for injection pre-filled syringes 1,£12.40,£12.40,£12.40,£12.40,£12.40,£12.40
Methotrexate 15mg/0.6ml solution for injection pre-filled disposable devices 1,£14.92,£14.92,£14.92,£14.92,£14.92,£14.92
Methotrexate 15mg/0.6ml solution for injection pre-filled syringes 1,£14.92,£14.92,£14.92,£14.92,£14.92,£14.92
Methotrexate 17.5mg/0.35ml solution for injection pre-filled disposable devices 1,£15.25,£15.25,£15.25,£15.25,£15.25,£15.25
Methotrexate 17.5mg/0.35ml solution for injection pre-filled syringes 1,£13.24,£13.24,£13.24,£13.24,£13.24,£13.24
Methotrexate 17.5mg/0.7ml solution for injection pre-filled disposable devices 1,£15.75,£15.75,£15.75,£15.75,£15.75,£15.75
Methotrexate 17.5mg/0.7ml solution for injection pre-filled syringes 1,£15.75,£15.75,£15.75,£15.75,£15.75,£15.75
Methotrexate 2.5mg tablets 28,£1.65,£1.67,£1.62,£1.62,£1.88,£1.88
Methotrexate 20mg/0.4ml solution for injection pre-filled disposable devices 1,£15.56,£15.56,£15.56,£15.56,£15.56,£15.56
Methotrexate 20mg/0.4ml solution for injection pre-filled syringes 1,£13.55,£13.55,£13.55,£13.55,£13.55,£13.55
Methotrexate 20mg/0.8ml solution for injection pre-filled disposable devices 1,£16.06,£16.06,£16.06,£16.06,£16.06,£16.06
Methotrexate 20mg/0.8ml solution for injection pre-filled syringes 1,£16.06,£16.06,£16.06,£16.06,£16.06,£16.06
Methotrexate 22.5mg/0.45ml solution for injection pre-filled disposable devices 1,£16.11,£16.11,£16.11,£16.11,£16.11,£16.11
Methotrexate 22.5mg/0.45ml solution for injection pre-filled syringes 1,£14.10,£14.10,£14.10,£14.10,£14.10,£14.10
Methotrexate 22.5mg/0.9ml solution for injection pre-filled disposable devices 1,£16.61,£16.61,£16.61,£16.61,£16.61,£16.61
Methotrexate 22.5mg/0.9ml solution for injection pre-filled syringes 1,£16.61,£16.61,£16.61,£16.61,£16.61,£16.61
Methotrexate 25mg/0.5ml solution for injection pre-filled disposable devices 1,£16.13,£16.13,£16.13,£16.13,£16.13,£16.13
Methotrexate 25mg/0.5ml solution for injection pre-filled syringes 1,£14.24,£14.24,£14.24,£14.24,£14.24,£14.24
Methotrexate 25mg/1ml solution for injection pre-filled disposable devices 1,£16.64,£16.64,£16.64,£16.64,£16.64,£16.64
Methotrexate 25mg/1ml solution for injection pre-filled syringes 1,£16.64,£16.64,£16.64,£16.64,£16.64,£16.64
Methotrexate 27.5mg/0.55ml solution for injection pre-filled disposable devices 1,£16.50,£16.50,£16.50,£16.50,£16.50,£16.50
Methotrexate 2mg/ml oral solution sugar free 35,£95.00,£95.00,£95.00,£95.00,£95.00,£95.00
Methotrexate 2mg/ml oral solution sugar free 65,£125.00,£95.00,£95.00,£95.00,£95.00,£95.00
Methotrexate 30mg/0.6ml solution for injection pre-filled disposable devices 1,£16.56,£16.56,£16.56,£16.56,£16.56,£16.56
Methotrexate 30mg/0.6ml solution for injection pre-filled syringes 1,£14.55,£14.55,£14.55,£14.55,£14.55,£14.55
Methotrexate 7.5mg/0.15ml solution for injection pre-filled disposable devices 1,£12.87,£12.87,£12.87,£12.87,£12.87,£12.87
Methotrexate 7.5mg/0.15ml solution for injection pre-filled syringes 1,£10.86,£10.86,£10.86,£10.86,£10.86,£10.86
Methotrexate 7.5mg/0.3ml solution for injection pre-filled disposable devices 1,£13.37,£13.37,£13.37,£13.37,£13.37,£13.37
Methotrexate 7.5mg/0.3ml solution for injection pre-filled syringes 1,£13.37,£13.37,£13.37,£13.37,£13.37,£13.37
Methoxy polyethylene glycol-epoetin beta 100micrograms/0.3ml solution for injection pre-filled syringes 1,£146.81,£146.81,£146.81,£146.81,£146.81,£146.81
Methoxy polyethylene glycol-epoetin beta 120micrograms/0.3ml solution for injection pre-filled syringes 1,£176.18,£176.18,£176.18,£176.18,£176.18,£176.18
Methoxy polyethylene glycol-epoetin beta 150micrograms/0.3ml solution for injection pre-filled syringes 1,£220.22,£220.22,£220.22,£220.22,£220.22,£220.22
Methoxy polyethylene glycol-epoetin beta 200micrograms/0.3ml solution for injection pre-filled syringes 1,£293.62,£293.62,£293.62,£293.62,£293.62,£293.62
Methoxy polyethylene glycol-epoetin beta 250micrograms/0.3ml solution for injection pre-filled syringes 1,£367.03,£367.03,£367.03,£367.03,£367.03,£367.03
Methoxy polyethylene glycol-epoetin beta 30micrograms/0.3ml solution for injection pre-filled syringes 1,£44.05,£44.05,£44.05,£44.05,£44.05,£44.05
Methoxy polyethylene glycol-epoetin beta 360micrograms/0.6ml solution for injection pre-filled syringes 1,£528.56,£528.56,£528.56,£528.56,£528.56,£528.56
Methoxy polyethylene glycol-epoetin beta 50micrograms/0.3ml solution for injection pre-filled syringes 1,£73.41,£73.41,£73.41,£73.41,£73.41,£73.41
Methoxy polyethylene glycol-epoetin beta 75micrograms/0.3ml solution for injection pre-filled syringes 1,£110.11,£110.11,£110.11,£110.11,£110.11,£110.11
Methyl salicylate 105mg / Levomenthol 31.5mg medicated plasters 3,£2.99,£2.99,£2.99,£2.99,£2.99,£2.99
Methyl salicylate 105mg / Levomenthol 31.5mg medicated plasters 5,£4.19,£2.99,£2.99,£2.99,£2.99,£2.99
Methyl salicylate 30% / Menthol 8% cream 35,£2.87,£2.87,£2.87,£2.87,£2.87,£2.87
Methyldopa 125mg tablets 56,£99.94,£99.95,£99.96,£99.97,£99.98,£100.00
Methyldopa 250mg tablets 56,£24.40,£24.40,£24.40,£24.40,£24.40,£24.40
Methyldopa 500mg tablets 56,£17.90,£17.90,£17.90,£17.90,£17.90,£17.90
Methylnaltrexone bromide 12mg/0.6ml solution for injection vials 7,£147.35,£147.35,£147.35,£147.35,£147.35,£147.35
Methylphenidate 10mg modified-release capsules 30,£25.00,£25.00,£25.00,£25.00,£25.00,£25.00
Methylphenidate 10mg tablets 30,£2.96,£3.08,£2.96,£2.96,£2.99,£2.99
Methylphenidate 18mg modified-release tablets 30,£31.19,£31.19,£31.19,£31.19,£31.19,£31.19
Methylphenidate 20mg modified-release capsules 30,£30.00,£30.00,£30.00,£30.00,£30.00,£30.00
Methylphenidate 20mg tablets 30,£10.92,£10.92,£10.92,£10.92,£10.92,£10.92
Methylphenidate 27mg modified-release tablets 30,£36.81,£36.81,£36.81,£36.81,£36.81,£36.81
Methylphenidate 30mg modified-release capsules 30,£35.00,£35.00,£35.00,£35.00,£35.00,£35.00
Methylphenidate 36mg modified-release tablets 30,£42.45,£42.45,£42.45,£42.45,£42.45,£42.45
Methylphenidate 40mg modified-release capsules 30,£57.72,£57.72,£57.72,£57.72,£57.72,£57.72
Methylphenidate 50mg modified-release capsules 30,£62.52,£62.52,£62.52,£62.52,£62.52,£62.52
Methylphenidate 54mg modified-release tablets 30,£36.80,£36.80,£36.80,£36.80,£36.80,£36.80
Methylphenidate 5mg modified-release capsules 30,£24.04,£24.04,£24.04,£24.04,£24.04,£24.04
Methylphenidate 5mg tablets 30,£3.03,£3.03,£3.03,£3.03,£3.03,£3.03
Methylphenidate 60mg modified-release capsules 30,£67.32,£67.32,£67.32,£67.32,£67.32,£67.32
Methylprednisolone 100mg tablets 20,£48.32,£48.32,£48.32,£48.32,£48.32,£48.32
Methylprednisolone 16mg tablets 30,£17.17,£17.17,£17.17,£17.17,£17.17,£17.17
Methylprednisolone 2mg tablets 30,£3.88,£3.88,£3.88,£3.88,£3.88,£3.88
Methylprednisolone 40mg/1ml / Lidocaine 10mg/1ml (1%) suspension for injection vials 1,£3.94,£3.94,£3.94,£3.94,£3.94,£3.94
Methylprednisolone 4mg tablets 30,£6.19,£6.19,£6.19,£6.19,£6.19,£6.19
Methylprednisolone 80mg/2ml / Lidocaine 20mg/2ml (1%) suspension for injection vials 1,£7.06,£7.06,£7.06,£7.06,£7.06,£7.06
Methylprednisolone acetate 120mg/3ml suspension for injection vials 1,£8.96,£8.96,£8.96,£8.96,£8.96,£8.96
